Frame number,Identity number,Bounding box left,Bounding box top,Bounding box width,Bounding box height,Area,Centroid,xCentroid,yCentroid
41,4,563,237,75,98,4986,,602.559767348576,289.5082230244685
41,6,734,286,34,118,1517,,757.3955174686882,357.0725115359262
42,1,380,179,93,93,4110,,419.8914841849148,234.32481751824818
42,4,560,234,74,102,4990,,597.7342685370742,288.2687374749499
42,6,731,287,37,117,1973,,755.2782564622403,347.5418144956918
43,1,380,179,92,91,4115,,421.37399756986633,233.17958687727824
43,4,556,231,70,103,4800,,592.891875,285.04854166666667
43,6,731,281,37,122,2665,,753.3831144465291,344.0769230769231
44,1,380,178,95,90,4079,,425.3358666339789,232.0730571218436
44,4,549,228,71,98,4575,,584.2987978142077,280.05027322404374
44,6,722,280,40,112,2767,,743.1579327791833,334.6389591615468
45,1,378,186,98,80,4067,,426.31349889353334,232.17728055077453
45,4,540,228,79,95,4756,,580.6656854499579,280.9352396972246
45,6,715,276,41,116,2591,,737.0470860671555,330.08375144731764
46,1,379,179,98,87,4215,,425.71340450771055,229.84223013048637
46,4,535,226,81,99,4766,,576.4160721779269,280.82144355853967
46,6,708,271,42,120,2915,,731.1025728987993,333.44082332761576
47,1,377,180,100,87,4298,,424.8480688692415,228.28036295951605
47,4,530,225,80,97,4647,,571.220572412309,278.16914138153646
47,6,701,274,46,117,2910,,726.014089347079,334.57972508591064
48,1,377,181,100,85,3963,,423.67423668937676,230.34140802422408
48,5,407,184,21,49,383,,415.3942558746736,205.93994778067886
48,4,518,222,82,95,4554,,560.9110671936759,273.8798858146684
48,6,698,267,33,116,2316,,714.8562176165804,325.48316062176167
49,1,376,181,100,85,3888,,422.18569958847735,229.77957818930042
49,5,409,184,19,47,327,,416.47094801223244,205.04892966360856
49,4,511,222,87,93,4539,,557.0896673276052,273.31989424983476
49,6,693,262,32,117,2373,,709.0282343025706,322.6607669616519
50,1,376,179,97,87,3681,,419.7101331160011,228.71529475685955
50,5,410,184,19,47,338,,417.4526627218935,203.12721893491124
50,4,506,223,91,92,4781,,552.8537962769295,274.09976992261034
50,6,679,262,41,114,2599,,703.8368603308965,324.05078876490956
51,1,375,178,89,88,3329,,412.9888855512166,228.63652748573145
51,5,414,184,15,21,218,,420.7522935779817,195.0045871559633
51,4,502,219,90,95,4784,,544.1358695652174,271.97596153846155
51,6,669,262,48,113,2650,,694.368679245283,322.28377358490565
52,5,414,179,39,42,704,,435.2244318181818,196.42329545454547
52,1,376,182,86,84,2725,,405.7155963302752,234.91743119266056
52,4,499,217,83,94,4578,,539.6463521188292,269.4930100480559
52,6,670,259,42,113,2811,,688.812166488794,318.8534329420135
53,1,376,179,82,88,3189,,408.59987456883033,228.6629037315773
53,4,497,215,77,94,4290,,535.6207459207459,266.5967365967366
53,6,664,256,38,110,2730,,682.952380952381,312.4120879120879
54,1,376,181,68,87,3019,,404.8668433256045,228.01589930440542
54,4,495,215,76,91,4284,,533.8004201680673,266.2378618113912
54,6,656,252,40,112,2369,,677.3461376108063,305.2439848037146
55,1,376,175,65,93,2853,,402.48790746582546,229.04486505432877
55,4,488,215,80,92,4547,,526.8194413899274,265.73037167363094
55,6,645,252,40,112,2672,,667.2256736526946,309.74513473053895
56,1,376,174,63,94,2966,,401.98111935266354,228.0114632501686
56,4,482,213,81,91,4440,,521.6342342342342,262.71013513513515
56,6,641,250,43,114,2624,,662.4649390243902,309.734756097561
57,1,376,175,54,93,3058,,401.2573577501635,227.89764551994767
57,4,476,211,81,92,4470,,517.0089485458612,260.8228187919463
57,6,640,248,35,112,2311,,657.2405884898312,305.6373864128083
58,1,378,172,52,96,3242,,401.1529919802591,225.83127698951265
58,4,469,210,84,91,4406,,512.3608715388107,259.51384475714934
58,6,630,243,35,109,2379,,648.1870533837747,300.53762084909624
59,1,376,173,54,95,3215,,400.39440124416797,227.22457231726284
59,4,467,210,84,90,4313,,509.90146070020864,259.14954787850684
59,6,621,240,40,112,2517,,644.3571712355979,300.1513706793802
60,1,371,173,59,95,3223,,398.8423828730996,229.09494260006204
60,4,466,209,82,91,4294,,507.8150908244061,258.3591057289241
60,6,620,244,37,107,2499,,641.264505802321,298.6642657062825
61,1,364,171,66,98,3601,,394.326298250486,225.9755623437934
61,4,466,205,70,92,4547,,501.3217506047944,254.74334726193095
61,6,618,238,34,106,2565,,635.1204678362573,291.65847953216377
62,1,357,171,73,99,3935,,390.70317662007625,225.92528589580687
62,4,465,204,65,91,4324,,498.76433857539314,252.16281221091583
62,6,614,235,37,105,2458,,632.1086248982913,286.1505288852726
63,1,344,172,86,96,4193,,387.6899594562366,225.94180777486287
63,4,464,203,65,89,4229,,497.1522818633247,250.84038779853392
63,6,611,233,37,105,2323,,629.5062419285407,282.7408523461042
64,1,341,172,89,98,4300,,386.2574418604651,225.90697674418604
64,4,459,203,68,87,4176,,494.9777298850575,250.35033524904213
64,6,609,234,36,104,2255,,627.0177383592018,282.36851441241686
65,1,338,170,29,71,1046,,348.3929254302103,208.13097514340345
65,2,370,183,72,87,2814,,400.8368869936034,229.79957356076758
65,4,457,201,65,88,4073,,489.57746133071447,248.83231033636142
65,6,607,229,32,107,2209,,622.349026708918,280.0058850158443
66,1,330,171,33,70,1156,,342.71626297577853,210.189446366782
66,2,370,183,74,87,2897,,401.6931308249914,229.5088022091819
66,4,450,200,70,87,4159,,485.98990141861026,246.7792738639096
66,6,605,225,31,106,2171,,619.8125287885767,275.6245969599263
67,1,321,172,36,69,1236,,336.73867313915855,212.6472491909385
67,4,371,182,149,102,7067,,450.27352483373426,238.7694920050941
67,6,604,225,30,100,2188,,617.5891224862888,274.1764168190128
68,1,318,171,35,70,1213,,331.8318219291014,212.4987633965375
68,4,375,182,145,100,7039,,451.00539849410427,239.18781076857508
68,6,599,222,34,101,2332,,615.3876500857633,274.1449399656947
69,1,310,170,23,69,1007,,319.4538232373386,207.99900695134062
69,4,374,182,142,100,6501,,450.996923550223,240.01476695892939
69,5,410,184,18,46,316,,418.64240506329116,203.7879746835443
69,6,596,220,31,102,2332,,611.2967409948542,271.7598627787307
70,1,297,170,35,70,1163,,314.30266552020635,211.96130696474634
70,4,372,182,142,100,6511,,449.67132544923976,239.39118414990017
70,5,410,184,18,46,291,,418.9896907216495,203.82474226804123
70,6,593,215,32,102,2271,,609.0189343901365,266.5667107001321
71,1,292,172,40,68,1237,,310.00727566693615,213.12611156022635
71,4,370,182,141,98,6756,,447.9151865008881,238.11323268206039
71,6,590,212,33,101,2179,,606.5575952271685,261.9132629646627
72,1,291,172,34,68,1146,,304.82722513089004,212.78621291448516
72,4,368,182,142,95,6478,,447.0876813831429,236.65050941648656
72,6,587,211,34,99,2051,,604.0941004388103,258.0273037542662
73,1,283,179,27,60,960,,293.9927083333333,210.24270833333333
73,4,372,182,139,92,6503,,445.5128402275873,235.63586037213594
73,6,584,211,32,99,1993,,600.1530356246864,257.941294530858
74,1,273,172,34,70,1235,,289.1174089068826,210.98056680161943
74,4,375,182,135,92,6139,,446.18178856491284,235.78335233751426
74,6,583,209,31,99,1957,,598.1951967296883,256.12723556463976
75,1,270,182,35,61,1229,,285.64035801464604,212.62164361269325
75,4,374,182,134,91,6389,,444.1767099702614,232.94490530599467
75,6,582,205,30,98,1902,,596.3380651945321,251.92586750788644
76,1,266,172,31,72,1221,,279.1924651924652,208.70679770679772
76,4,373,182,137,87,6265,,442.66448523543494,230.83735035913807
76,6,580,201,30,96,1984,,593.3724798387096,249.1673387096774
77,1,264,173,28,71,1166,,277.0548885077187,207.74699828473413
77,4,371,182,140,86,6254,,442.9109370003198,230.6456667732651
77,6,577,201,31,96,2050,,592.2478048780488,249.66048780487804
78,1,262,175,32,71,1165,,275.77339055793993,210.1793991416309
78,4,370,183,140,86,6291,,442.25337784136065,230.53266571292323
78,6,577,200,29,96,1965,,591.5424936386769,247.6417302798982
79,1,261,176,31,70,1212,,273.9414191419142,211.9141914191419
79,4,374,180,134,88,6261,,442.99872224884206,228.05063088963425
79,6,573,196,32,93,1934,,588.9974146845915,241.29162357807652
80,7,277,59,13,27,218,,283.0550458715596,72.70642201834862
80,1,261,175,30,72,1245,,273.50763052208833,212.25301204819277
80,4,375,178,132,90,6208,,443.61436855670104,226.7103737113402
80,6,572,193,32,93,1830,,587.3251366120219,238.15464480874317
81,1,261,176,27,73,1247,,273.78909382518043,212.25260625501204
81,4,375,176,132,92,6146,,444.24324764074197,225.29205987634234
81,6,570,193,32,93,1750,,586.008,236.97085714285714
82,7,276,59,9,28,202,,280.65841584158414,71.07920792079207
82,1,262,177,28,74,1199,,274.8999165971643,214.2251876563803
82,4,376,176,132,92,6071,,444.79278537308517,224.43963103277878
82,6,570,192,30,94,1731,,584.6949740034662,236.66262276140958
83,4,376,175,132,93,5984,,447.3805147058824,224.32620320855614
83,1,265,180,29,73,1236,,278.04126213592235,217.88349514563106
83,6,569,188,28,94,1710,,581.980701754386,232.61228070175437
84,4,376,172,134,96,5930,,448.2785834738617,222.87217537942664
84,1,267,181,28,71,1208,,280.20198675496687,217.5496688741722
84,6,568,186,29,91,1731,,581.1190063547083,230.20681686886192
85,4,448,170,66,81,3497,,479.1289676865885,213.62367743780382
85,1,269,181,30,73,1265,,282.5264822134387,217.8094861660079
85,2,376,180,71,88,2392,,403.01463210702343,232.18102006688963
85,6,567,187,30,88,1765,,580.641926345609,229.53484419263455
86,7,262,60,12,28,216,,268.56018518518516,72.25925925925925
86,4,449,168,66,79,3206,,481.5336868371803,211.76731129132875
86,2,376,181,66,87,2073,,399.5663289917993,234.04052098408104
86,1,274,183,32,73,1427,,287.812193412754,222.30693763139453
86,6,567,183,29,91,1740,,580.7810344827586,227.6183908045977
87,7,259,61,13,25,221,,266.2760180995475,73.63348416289593
87,4,448,168,68,78,3236,,482.39215080346105,211.85908529048208
87,2,376,181,67,87,2090,,399.4464114832536,232.87416267942584
87,6,567,183,29,90,1684,,581.2684085510689,225.69714964370547
87,1,277,185,34,75,1486,,290.8977119784657,224.9663526244953
88,4,451,167,65,79,3355,,483.42622950819674,210.8199701937407
88,2,373,181,68,86,2157,,398.6866017617061,231.452016689847
88,6,568,181,28,88,1637,,581.8167379352474,223.1331704337202
88,1,281,185,33,75,1487,,294.11163416274377,225.34700739744451
89,7,255,58,12,32,246,,261.349593495935,73.8130081300813
89,4,455,163,64,77,3191,,486.6114070824193,205.34597304920086
89,6,570,177,27,87,1734,,583.5276816608997,221.35755478662054
89,2,372,182,58,86,2331,,398.25482625482624,230.4882024882025
89,1,287,186,31,76,1235,,300.6008097165992,223.39028340080972
90,7,253,61,13,29,284,,259.44718309859155,76.30985915492958
90,4,457,162,64,76,3111,,489.28929604628735,203.60173577627774
90,6,572,176,27,88,1693,,584.5156526875369,220.91730655640873
90,2,372,182,68,85,2337,,398.84424475823704,230.70902866923407
90,1,291,189,27,76,1305,,303.87049808429117,227.39003831417625
91,4,459,162,63,76,3107,,490.73768908915355,203.08303830061152
91,6,571,177,28,86,1648,,585.3307038834952,219.77366504854368
91,2,375,181,66,86,2294,,400.050566695728,230.98692240627724
91,1,294,190,31,75,1358,,307.1185567010309,229.47717231222387
92,7,249,59,12,33,240,,254.4,74.16666666666667
92,4,461,162,63,75,3087,,492.7398769031422,203.48007774538388
92,6,573,174,28,87,1613,,586.7073775573466,216.5232486050837
92,2,378,181,53,86,2189,,400.15760621288257,230.19506624029236
92,1,297,190,29,75,1356,,310.6674041297935,229.39970501474926
93,4,468,158,61,77,2999,,498.026342114038,199.79259753251083
93,6,575,169,30,85,1553,,589.5885383129427,209.05022537025113
93,2,382,181,60,85,2280,,403.32412280701755,230.39473684210526
93,1,304,190,33,78,1549,,318.1594577146546,233.07230471271788
94,7,243,60,13,32,241,,249.46058091286307,74.7883817427386
94,4,472,157,58,76,2953,,500.2211310531663,198.5421605147308
94,6,576,170,31,84,1507,,590.9734571997345,208.4140676841407
94,2,382,180,63,85,2472,,405.55663430420714,228.21116504854368
94,1,308,194,36,77,1597,,322.20037570444583,235.83030682529744
95,7,240,64,15,28,228,,247.25,77.01754385964912
95,4,476,156,56,76,2876,,502.1324756606398,197.4394993045897
95,6,578,170,30,83,1488,,592.4260752688172,208.78629032258064
95,2,380,180,66,85,2488,,407.0261254019293,227.72065916398714
95,1,311,195,36,76,1596,,326.2218045112782,237.05513784461152
96,7,238,66,13,27,222,,245.23873873873873,78.13063063063063
96,4,478,157,56,75,2868,,503.8364714086471,197.64016736401675
96,6,581,169,28,83,1443,,593.94455994456,207.6791406791407
96,2,379,180,66,85,2428,,406.55848434925866,228.47775947281713
96,1,317,194,30,78,1499,,330.5690460306871,236.41360907271513
97,4,485,154,53,77,2861,,508.5096120237679,195.17581265291855
97,6,585,163,24,83,1399,,597.035739814153,204.12008577555397
97,2,383,180,63,85,2319,,405.95946528676154,230.79301423027167
97,1,327,197,31,79,1402,,340.2689015691869,239.4472182596291
98,7,233,67,12,28,216,,238.62962962962962,78.49537037037037
98,4,485,153,53,75,2754,,510.91830065359477,192.54212055192448
98,6,587,163,23,82,1474,,598.6221166892809,205.0407055630936
98,2,385,180,61,85,2232,,405.5340501792115,230.32974910394265
98,5,420,183,23,23,224,,432.2767857142857,197.33035714285714
98,1,329,199,34,78,1485,,344.57508417508416,243.01818181818183
99,7,231,67,12,28,209,,236.7799043062201,79.05263157894737
99,4,485,151,55,74,2625,,512.7295238095238,190.43809523809523
99,6,588,161,25,84,1501,,600.0972684876749,204.36109260493004
99,2,384,179,65,85,2174,,405.024379024839,230.02483900643975
99,5,422,184,23,21,220,,433.6363636363636,197.51818181818183
99,1,335,200,38,77,1515,,349.76501650165017,243.24488448844883
100,7,227,67,12,29,218,,233.19266055045873,79.9770642201835
100,4,490,151,57,74,2637,,517.0982176715966,191.320819112628
100,6,590,160,27,82,1443,,603.3880803880804,200.64449064449065
100,2,346,180,71,97,3404,,378.75763807285546,233.76909518213867
100,5,424,183,28,39,328,,438.8841463414634,200.5579268292683
100,3,435,245,18,17,257,,442.4591439688716,252.42801556420233
101,4,493,150,55,74,2679,,519.5240761478163,190.67749160134377
101,6,593,157,27,80,1425,,605.3473684210526,196.82736842105263
101,2,348,180,70,99,3508,,380.37314709236034,234.94583808437855
101,5,433,182,19,41,319,,441.9937304075235,200.7115987460815
101,3,435,245,21,16,292,,443.99657534246575,252.1095890410959
102,4,496,148,53,75,2690,,522.3193308550186,188.3817843866171
102,6,594,154,28,81,1368,,607.4700292397661,192.69444444444446
102,2,351,180,65,99,3572,,382.18449048152297,235.43561030235162
102,5,433,182,19,41,350,,442.4371428571429,200.68857142857144
102,3,435,245,20,16,287,,443.81184668989545,252.4773519163763
103,7,221,65,11,32,236,,226.82627118644066,80.88135593220339
103,4,500,147,53,75,2623,,525.5085779641631,187.19100266869995
103,6,596,154,28,81,1292,,609.3854489164087,191.18421052631578
103,2,356,179,59,101,3477,,385.24762726488353,235.00949094046592
103,5,433,182,20,54,421,,443.5938242280285,204.57007125890738
103,3,435,245,22,17,314,,444.52547770700636,252.48089171974522
104,7,217,69,13,28,249,,222.45381526104418,83.19678714859438
104,4,505,146,52,73,2458,,529.1086248982913,185.36533767290481
104,6,601,155,26,79,1265,,613.4545454545455,191.72332015810278
104,2,371,179,85,104,3645,,404.14897119341566,236.29958847736626
105,7,214,66,11,33,225,,219.35555555555555,80.54222222222222
105,4,508,146,50,73,2484,,530.8228663446055,185.98953301127213
105,6,605,152,23,79,1180,,615.8864406779661,189.48050847457628
105,2,373,178,82,105,3570,,406.46666666666664,237.97254901960784
106,7,211,70,10,29,235,,215.53191489361703,83.48510638297873
106,4,512,145,53,73,2599,,536.3162754905733,184.40938822624085
106,6,610,149,21,78,1300,,620.3984615384616,190.06
106,2,381,179,72,104,3168,,405.84911616161617,238.96527777777777
107,7,206,70,12,30,241,,212.66804979253112,83.71369294605809
107,4,516,143,51,73,2617,,539.4933129537638,182.85021016431028
107,6,611,151,26,76,1334,,622.2683658170914,190.76611694152925
107,2,381,179,73,104,3139,,407.58075820324945,237.20229372411595
108,7,203,67,15,34,286,,210.26223776223776,84.81468531468532
108,4,518,142,51,72,2540,,541.9582677165355,180.5259842519685
108,6,611,150,27,76,1327,,624.1627731725697,190.2426525998493
108,2,378,177,76,106,3294,,408.73497267759564,240.16272009714632
109,7,199,67,13,34,282,,206.13120567375887,84.31914893617021
109,4,519,141,57,72,2524,,547.2820919175912,179.64421553090332
109,6,617,148,25,74,1293,,628.7308584686775,184.97138437741685
109,2,379,178,29,80,1428,,390.6799719887955,222.36834733893556
109,3,408,244,52,41,1346,,433.4836552748886,264.0586924219911
110,7,198,72,12,29,252,,204.94444444444446,85.68650793650794
110,4,522,142,55,71,2539,,549.6014178810556,180.0464749901536
110,6,618,146,27,74,1211,,631.1197357555739,180.96201486374898
110,2,377,177,31,81,1466,,389.20600272851294,222.25920873124147
110,3,420,245,44,40,1077,,439.9628597957289,266.03621169916437
111,7,196,68,14,35,349,,202.31232091690543,86.3810888252149
111,4,526,140,54,72,2444,,552.0212765957447,178.55400981996726
111,6,620,145,28,75,1130,,633.3097345132743,178.24159292035398
111,2,375,180,31,78,1547,,387.9760827407886,221.48868778280544
111,3,422,221,38,67,1058,,443.976370510397,261.2192816635161
112,7,194,69,12,28,225,,199.74666666666667,82.92444444444445
112,4,530,139,51,72,2341,,555.1251601879538,177.43784707390003
112,6,623,144,27,76,1198,,635.7804674457429,179.4465776293823
112,2,373,180,33,78,1471,,386.899388171312,221.96057104010876
112,3,421,208,51,81,1663,,448.6512327119663,257.8256163559832
113,8,752,10,16,39,320,,760.91875,29.09375
113,7,193,71,11,26,216,,198.08796296296296,83.15277777777777
113,4,533,138,52,70,2334,,558.0192802056555,176.2017994858612
113,6,626,144,26,75,1145,,638.17903930131,179.16943231441047
113,2,372,179,33,80,1487,,385.9912575655683,222.67518493611297
113,3,420,210,58,79,2026,,452.2941757156959,256.51184600197433
114,7,188,74,12,30,251,,194.3784860557769,87.93625498007968
114,4,540,138,49,69,2326,,562.7755803955288,176.5176268271711
114,6,633,141,21,73,1055,,643.1791469194313,176.02654028436018
114,2,372,181,33,79,1478,,385.446549391069,222.91204330175913
114,3,458,209,22,81,1329,,468.58916478555307,251.68698269375471
114,3,421,245,27,19,304,,435.44407894736844,255.32565789473685
115,7,185,75,15,30,282,,192.1418439716312,89.85460992907801
115,4,543,138,47,70,2260,,564.7314159292035,177.05353982300886
115,6,635,140,20,73,1128,,645.1906028368794,177.3945035460993
115,2,372,182,33,79,1487,,385.40484196368527,222.97108271687964
115,3,463,210,28,80,1489,,475.50167897918067,253.60779046339826
115,9,741,229,27,85,670,,759.0119402985075,282.8328358208955
115,3,420,245,27,19,288,,434.34027777777777,255.61805555555554
116,8,751,9,17,25,320,,759.99375,20.48125
116,7,183,74,15,32,290,,190.41724137931035,89.19310344827586
116,4,543,137,52,71,2292,,567.1439790575917,174.99912739965097
116,6,638,140,23,72,1190,,647.4873949579832,178.6983193277311
116,2,373,183,34,78,1613,,386.6286422814631,224.83199008059518
116,3,466,211,41,81,1723,,482.3255948926291,257.88392338943703
116,9,737,229,31,84,1210,,757.7454545454545,272.58429752066115
116,3,421,246,24,17,265,,434.10188679245283,256.03396226415094
117,7,181,75,13,31,265,,187.92830188679244,89.26037735849057
117,4,547,136,50,70,2277,,570.6135265700483,172.23671497584542
117,6,637,140,26,72,1217,,649.4732949876746,178.17502054231718
117,2,373,183,35,79,1626,,387.55473554735545,226.13653136531366
117,10,468,213,45,81,1815,,488.1388429752066,259.89146005509645
117,9,737,227,31,87,1568,,754.1817602040817,272.515943877551
117,3,418,247,28,16,288,,433.3854166666667,255.60069444444446
118,7,177,77,16,30,310,,184.0,91.86129032258064
118,4,548,133,56,70,2278,,576.3924495171203,170.4741000877963
118,6,641,138,26,71,1164,,654.1752577319587,173.93041237113403
118,2,374,184,32,81,1617,,387.591218305504,226.03277674706246
118,10,486,212,30,83,1517,,501.01911667765324,256.6664469347396
118,9,729,225,29,48,841,,741.6420927467301,249.33055885850177
118,3,420,245,27,17,277,,434.028880866426,254.8953068592058
